assunto,links
education about,71:7.0
education advances in during postbestowal son age,52:5.3
in alexandria and galilee comparison of education,124:0.1
artificial and superficial modern child culture and education,84:7.23
builders function of education,44:3.6
education characteristics of present and eventual,71:7.4
education of children of adamic and native unions,51:5.5
education and the home in the continental nation,72:3.4
reason for need of education,68:0.2
christianity and education,195:0.3
education compulsory a factor in an expanding civilization,71:4.7
education in the continental nation,72:4.0
education a definition,71:7.5 123:5.8 140:4.10
education on edentia,37:6.2 43:8.0
effect on civilization of man's control of education,81:6.25
education as a factor in vital decisions of moral creatures,67:3.7
fad's methods of education,66:5.9 66:7.6
galilean jews' systematic program for education,123:2.13
general true teachers' support of education,90:2.9
education of girls jesus' belief concerning,127:1.5
higher apostles' lack of education,139:0.4
education jesus' early from his parents,123:2.3
effect of joseph's death on education,124:5.2 126:2.2
education home for his brothers and sisters,126:1.3
education as taught by mary,123:2.14
education intellectual and theological from the chazan,123:5.8
education jewish,123:5.2
education real obtained by mingling with his fellow men,123:5.8
education of john the baptist,135:0.4
education law compulsory jewish,123:5.11
education lifelong in the ideal state,71:7.5
education local universe assistant teachers' connection with,39:2.7
education a means of gaining knowledge,81:6.13
education nebadon,37:6.1
education nodite oversight of second-garden,76:2.3
education and other melchizedek activities on jerusem,46:6.6
education personal of havona pilgrims,30:4.27
education possible failure of modern,88:6.7
present backwardness of education,81:6.25
education probable effect of on buddhism,94:12.5
purpose of education,16:6.11 71:7.1 195:10.17
education quality of judas's,139:12.7
education relation of to a good inheritance,76:2.6
religious promotion of education,99:6.2
a result of education,25:3.12
roman loyalty bred by education,195:2.3
education secular possible influence of on a spiritual renaissance,195:10.17
education secularization of result,195:8.13
seraphic development by education,39:0.1
education social of ascendant pilgrims on havona,26:11.1
education and training one foundation fact of a true family,142:7.8
of youth society's right of education,70:9.9
education universal establishment of a level of statehood,71:8.7
education and intellectual acquisition,37:6.6
universe purpose of education,2:7.12
education wise fathers' planning for their children's,142:7.8
education value of in character development,76:2.6
educational application in schools of the prince,50:4.6
educational attainments of apostles,139:0.4
educational courses of military trainees in the continental nation,72:11.2
growth some indications of educational,100:1.3
institution(s) the family as an importance of educational,82:0.2
educational local universe,39:1.14
educational ministry of paradise spiritual sons,20:8.1
educational of vorondadek sons,18:7.2
educational opportunities influence of on man's religion,101:7.1 102:3.1
pressure possible effect of educational,103:5.11
educational system(s) of the continental nation,72:4.0
educational of jerusem,45:7.0
educational mansion world and morontia,44:2.11 47:5.3 48:5.5
educational of nebadon,37:6.1
educational planetary transformation of during post-teacher son era,52:7.3
of post-adamic epoch world-wide character of educational,52:3.10
educational of salvington,35:3.1 35:10.3 37:6.1
for younger material sons perfection of educational,45:5.7
unit importance of the family as an educational,82:0.3
worlds of superuniverses service of havona servitals on educational,25:1.7
of ascending mortals melchizedek sphere the meeting ground for educator(s),35:3.11
educator(s) household fire the first,69:6.3
melchizedeks as educator(s),35:2.1 35:3.1 35:10.3 37:7.1 45:5.7 45:7.3
universal daynals the educator(s),20:7.3
effect cause and the i am as both,105:1.5
in the physical domains man's slowness to learn secrets of effect,90:3.9
effect relationship of evolution and culture,81:5.1
effect to the savage,86:2.3
effectiveness of language a factor in civilization,81:6.16
effectiveness of material resources a factor in civilization,81:6.14
effectiveness of mechanical devices a factor in civilization,81:6.20
effects universe vs. universe causes,3:6.3
effigies alleged effectiveness of in magic,88:5.3
creature and creator purpose supreme's response to effort(s),117:1.9
effort(s) intelligent a prerequisite to happiness,48:7.10
joy not always produced by effort(s),48:7.10
effort(s) and rewards of the paradise career,50:7.3
effort(s) supreme of trinitization candidates,22:7.6
effrontery exhibition of by the sanhedrists before pilate,185:2.4
ego altersee,Alter ego
ego and alter ego and the evolution of prayer,91:3.0
ego cravings and the social consciousness,103:5.4
dignity wear and tear of ego,48:6.37
exaltation of humor the divine antidote for ego,48:4.15
ego -will and the other-than-self will,103:5.4
egocentric ways of preventing one's religious life from becoming,103:1.3
egoism vs. altruism,103:2.7
-altruistic conflict the clan as a challenge to the egoistic,103:3.1
ambition ascending morontians' socialization of egoistic,44:8.4
nature the child's development of egoistic,103:2.9
prayer may be either altruistic or egoistic,91:4.3
conceited self-analysis and egotism,140:8.27
egotism national effect of on the jews,97:10.3
egotism an essential to social survival,71:3.2
the suicidal nature of egotism,111:6.9
egotism theologic and revealed religion,92:7.2
abraham's sojourn in egypt,93:5.7
amenemope's teaching in egypt,95:4.0
andite migrations to and influence on egypt,78:6.5 80:6.1
egypt bedouin semites' departure from under moses' leadership,96:3.0
egypt entrance into as contract laborers,96:2.2
brother and sister marriage in egypt,82:5.4
caste system of egypt,70:8.11
cult of isis in egypt,95:1.7 95:5.12 98:4.8
egypt degeneration of a factor in the independence of palestine,121:2.8
infiltration of inferior tribes into egypt,80:1.3 80:6.5
egypt jesus' sojourn in on way to rome,130:3.0
joseph as a civil administrator in egypt,93:9.5
egypt joseph's influence in on behalf of melchizedek teachings,93:9.5 95:3.5
egypt judah under tribute to after defeat of josiah,97:9.24
melchizedek teachings in egypt,93:7.1 95:2.1 96:2.5 98:0.1
mesopotamian influence on egypt,95:3.1
migration to egypt,80:1.3
egypt and the monotheism of ikhnaton,95:5.0
egypt moral and intellectual rather than spiritual,95:3.5
one reason for the child jesus' being taken to egypt,95:5.2
onetime most thoroughly blended religious philosophy in egypt,95:2.1
egypt occupancy of by a blended colored race,78:3.6
persistence of the sethite trinity concept in egypt,104:1.2
egypt the pharaoh's fear of the bedouins' organization against,96:3.4
egypt place of final struggle of orange and green races,64:6.13
egypt readiness of for salem teachings,95:2.2 95:3.5
seven distinct types of human beings in egypt,80:6.2
sojourn of joseph mary and baby jesus in egypt,122:10.4 123:0.3
egypt successive domination of by various colored races,64:7.15
egypt successor to mesopotamia as the world's cultural center,80:6.1
egypt the transmitting agent of culture and religion to the occident,95:5.14
art effect of making burial statues on egyptian(s),95:2.4
egyptian(s) belief of regarding the soul and the spirit,86:4.8 111:0.4
egyptian(s) bondage judah's period of real,97:9.24
calendar reform of accuracy of egyptian(s),77:2.12
egyptian(s) comparison of with the amerinds in religious practice,95:2.3
egyptian(s) concept of god of heaven,142:3.5
egyptian(s) cult of osiris and isis popularity of in the greco-roman world,98:4.4
ritual origin of egyptian(s),98:4.0
egyptian(s) early religion,95:2.0
egyptian(s) embalming of the dead,95:2.4
egyptian(s) influence on the hebrew religion,95:2.1 95:5.15 96:0.3 96:3.1 96:5.3 96:7.1
preservation of many mesopotamian teachings by the egyptian(s),95:1.11
egyptian(s) ptolemaic and palestinian independence,121:2.8
egyptian(s) pyramid first built by the andite imhotep,80:6.4
religious philosophy moses' comprehension of egyptian(s),96:4.1
egyptian(s) royal family moses a descendant of significance,95:5.3
ruler(s) moses' influence with the egyptian(s),96:3.3
egyptian(s) one testimony of regarding his ka,111:0.6
egyptian(s) salemite physician influence of on ikhnaton's philosophy,95:5.1
slavery teachings regarding joseph's being sold into egyptian(s),126:1.2
source of the medical knowledge of the egyptian(s),90:4.9
egyptian(s) superstitions of regarding a celestial stairway,95:2.8
egyptian(s) and their national system of gods,80:6.4
triad onetime truth-justice-righteousness a egyptian(s),95:3.3
egyptian(s) triad gods,104:0.3
eighth race of urantia,73:1.3 77:2.8
identity of el,96:1.7
el elyon concept persistence of in egypt,96:2.5
identity of el elyon,93:3.2 96:1.4
el elyon machiventa's revelation of the identity of to amdon,93:2.1
melchizedek church members' belief in el elyon,93:4.1
known as priest of el elyon,93:2.4
moses' father-in-law a kenite worshiper of el elyon,96:4.2
el elyon futile attempts to adapt concept of to the illiterate hebrews,96:5.5
el elyon the most high god,142:3.4
el elyon the one god ikhnaton's keeping alive the doctrine in egypt,95:5.2
el shaddai egyptian concept of god,96:1.5 142:3.5
el shaddai material prosperity a reward for serving,96:1.6
moses' parents worshipers of el shaddai,96:4.2
elam eastern nodites' headquarters,73:1.5 77:4.4
civilization of elamites,77:4.4
peace between adamites and elamites,76:2.9
brethren of urantia mortals midwayers as elder(s),77:9.10
brother of each believer christ intended to be elder(s),170:5.17
elder(s) immanuel as michael's,119:1.1 120:0.6 127:2.12 128:1.11 136:3.3
elder(s) jesus as man's,40:6.5 169:4.1 169:4.13
elder(s) zebedee daughters looked on jesus as their,129:1.5
elder(s) council of the first governmental body,70:5.2 70:5.3
elder(s) transition from to other forms of government,70:12.2
of ephraim anointing of david by elder(s),97:9.11
elder(s) four and twentysee,"Four and twenty, counselors"
elder(s) functions of in primitive society,70:5.3 70:11.12 80:5.6 82:4.2 83:3.2
hebrew loss of judicial role by elder(s),97:9.15
elder(s) of israel amazement of that jesus did not return to address the multitudes,177:3.7
coming rejection of jesus by elder(s),158:7.3
interruption of jesus' sermon by elder(s),173:2.2
elder(s) jesus' plea for co-operation with,175:1.8
warning to the elder(s),173:4.4
elder(s) the law of the jesus' attitude toward,153:3.3 153:3.6
elder(s) relief of at not having to arrest jesus in public,177:4.12
elder(s) request by for jesus to save the centurion's servant,147:1.1
elder(s) of nazareth and the episode of jesus' drawing in school,124:1.4
elder(s) plans of to send jesus to school at jerusalem,124:5.5
requirements for sanhedrin to ordain an elder(s),173:2.3
elder(s) respect for a salem commandment,93:4.13
elder(s) subject of dalamatia prayer,66:5.15
elder(s) saliva of an valued by primitives,88:1.8
elder(s) the seventy ruling of alexandria,130:3.8
elder(s) statesmen house of of the continental nation,72:2.7 72:2.17
labors of the seventy in elealah,165:0.1
popular function of elections,71:2.8
elective bodies on jerusem by whom selected,45:7.5
electric air-ceiling of jerusem and lighting,46:1.4
electric disturbances decrease of on urantia,57:8.18
electric fields tense a source of short space rays,58:3.2
electric force inability of to hold together atomic nuclei,42:8.4
electric types planetary mortal,49:2.22
electrical activities effect of on atoms,42:3.8
installations on worlds of nonbreathers function of electrical,49:3.3
electrical reactions and the unqualified absolute,65:6.8
electricity effect of on man's labor,81:2.14
fire's relation to discovery of electricity,69:6.8
electricity generation vs. transformation of space energies into morontia material,48:2.14
man's tardiness in the use of electricity,81:6.8
electricity not a basic energy of space,41:1.2
electricity relation of to heat etc.,42:4.1
electricity scientists' inability to explain,133:5.4
possible measurement of the energy of electricity,133:5.4
electrochemical domains of response to stimuli,65:7.8
electrochemical mechanism relation to the spirit-morontia energy system,111:1.5
electrochemical order of life activation,16:8.15
life carriers' function on levels of electrochemistry,65:1.3
universe function of electrochemists,36:2.14
activity dependence of chemical behavior on electron(s),42:7.6
electron(s) advantage to of nonexistence of ether,42:5.16
electron(s) annihilation of a source of solar energy,41:7.4
electron(s) breaking up of at electronic boiling point,41:7.12
electron(s) collision and loss of light-energy,42:5.6
electron(s) comparative room for in atoms,42:7.2
direct-line motion through space of electron(s),42:5.14
electron(s) escape of conditions favoring,42:7.9
electron(s) gravity control of large suns over,41:9.1
influence of cold in organization of electron(s),42:4.5
electron(s) journey of through space,41:5.4
electron(s) mass and volume of comparative,42:6.8
electron(s) number of in calcium,41:6.4
of modified forms of electron(s),42:6.5
electron(s) of ultimatons in typical,42:6.5
orbital shifting of results of electron(s),42:5.6 42:7.7
primary associators' manipulation of electron(s),29:4.33
relation of ultimatonic matter to electron(s),42:3.3
electron(s) speeding up of by solar temperatures,41:7.13
electron(s) spin influence of on origin of space rays,58:3.3
electron(s) subjection of to gravity,41:9.2
in supergases number of electron(s),41:4.3
transmutation of ultimatons into circuits of electron(s),42:4.3
ultimaton content of an electron(s),42:4.3 42:6.5
ultimatons atoms and electron(s),42:6.0
variable behavior of electron(s),42:7.10
wavelike energy extension of electron(s),42:7.8
weight of an electron(s),42:6.7
activity heat the measurement of electronic,42:4.5
electronic association(s) formation of in open space,42:4.9
electronic of ultimatons,41:9.1
axial and orbital revolutions velocities of electronic,42:7.3
electronic behavior relation of to nuclear proximity,42:7.8
electronic boiling point,41:7.12
circuit inner relative distance from atomic nucleus to electronic,42:7.2
condensation cause of electronic,41:3.6
construction and atomic breakup temperature's effect on electronic,42:4.7
dimensions differential determination of electronic,42:6.6
electronic energies organizing in organized space,42:4.6
electronic -energy particles immunity of uncharged to linear gravity,42:6.2
level of energy-matter universe power the electronic,0:6.2
electronic matter definition,42:3.5
function of ultimatonic interassociation in electronic,42:6.6
organization of universe power seven phases of electronic,29:2.13
electronic stage of energy basis of materialization,42:5.6
units determination of negative and positive reactions of electronic,42:6.6
electronic unpredictability,42:7.10
elemental types planetary mortal—18 (561.14—562.2),49:2.15
elements chemical number of basic havona,14:2.3
elements of urantia,42:9.3
elements fear of the by andonites,63:6.3
heaviest and behavior of electrons of elements,42:7.9
elements heavy settling of toward urantia's center,57:7.3
worship of the elements,85:4.0
age of the elephants,61:3.0
blue man's training of elephants,66:5.5
elephants evolution of vs. reproduction of mice,49:1.6
intelligence and adaptation of elephants,61:3.6
elephants of miocene period brain size,61:3.6
eleusinian mysteries development of in greece,98:2.10
identity of elihu,96:7.7
elihu teaching of regarding human salvation,96:7.7
beginning of secret writing by elijah,97:9.20
elijah campaign of against the baalites,97:3.6
elijah comparison of john the baptist with,135:6.3
elijah contribution of to the spiritual status of the northern kingdom,97:2.1
elijah a defender of the old land mores,97:9.19
denouncing of ahab by elijah,97:9.19
elijah and elisha,97:2.2
elijah the father's speaking through,155:6.2
elijah influence of on john the baptist,135:1.4 135:4.5
elijah jesus compared with,157:3.5
john the baptist's assumption of the dress and speech of elijah,135:4.5 135:6.3
belief as to the return of elijah,135:4.4
elijah joseph's story to jesus about,123:5.12
elijah one of the greatest of prophets,97:9.19
peter's erroneous identification of a transfiguration visitor as elijah,158:1.8
of prophecy jesus' reference to john the baptist as elijah,158:2.2
elijah the prophet of mount carmel,135:1.4
elijah on urantia advisory council,45:4.15
funeral of apostles' absence from elijah mark,192:4.6
eliphaz advice of to job,148:6.4
elisha and elijah,97:2.2
elisha works of at shunem,124:6.3
"ancestry of elizabeth, mother of john the baptist",122:2.1 135:0.4
"elizabeth, mother of john the baptist assurance of about jesus as the messiah",135:3.3
"death of elizabeth, mother of john the baptist",135:4.1
"elizabeth, mother of john the baptist discussion of with mary regarding their sons",127:3.11
"education of elizabeth, mother of john the baptist",135:0.4
"gabriel's appearance and message to elizabeth, mother of john the baptist",122:2.0
"elizabeth, mother of john the baptist and john's visit to the nazareth family",127:3.11
"elizabeth, mother of john the baptist reaction of to gabriel's visit",122:2.4 135:0.1
elizabeth of tiberias a member of the women's corps,150:1.1
ellanora function of on panoptia,53:7.1
ellipse the great,11:8.2 41:9.2
elliptical path of the superuniverses,15:1.2
elman supervisor of the kingdom's first hospital,148:0.1 148:2.1
eloah singular of elohim,96:1.8
elohim doctrine almost complete eradication of by the time of jesus,104:1.8
elohim god concept changed from yahweh to under elijah's teaching,97:3.6
elohim the god of gods,64:6.26 169:4.8 169:4.8
elohim (god) vs. the father,169:4.8
jesus not the manifestation of elohim,169:4.9
identity of elohim,96:1.8 142:3.6 169:4.9
pseudo onetime practice of elopement,83:2.2
elopement a technique of escape from purchase of a wife,83:3.2
man's mind not to be overawed by eloquence,159:3.2
eloquence persuasive jesus' refusal to employ,186:2.3
preacher's humans' susceptibility to eloquence,154:6.8
emanations(s) of highly heated orbs and dark energy-charged spheres,41:2.4
emanations(s) light from bodies of adam and eve,74:6.5
emanations(s) luminous a figure of speech connoting a spirit manifestation,0:6.9
emanations(s) of man's own intellect often taken for the adjuster's voice,110:5.6
emanations(s) of nether paradise responsiveness of to central gravity pull,11:8.2
from the outer zone of nether paradise extent of emanations(s),11:5.7
pulsating behavior of emanations(s),11:5.8
radium atomic weight of form of lead produced by emanations(s),42:4.12
emanations(s) space imbibing by adam and eve of light and energy from certain,74:6.4
emanations(s) subconscious ideas emerging from the normal psychic function of the mind,110:4.3
proclamation of all women jesus' charge an emancipation,150:1.3
of the soul prerequisite to emancipation,160:1.8
the dead origin of egyptians practice of embalming,95:2.4
embalming of their dead by the jews,188:1.4
embellishment of detention spheres for future unknown use on michael's orders,53:7.1
embellishment of havona spheres,14:3.7 18:2.4
of jerusem spiritual zones character of embellishment,46:4.9
embellishment living on constellation headquarters,43:6.1 43:6.7
of mansion world structures character of embellishment,48:3.15
embellishment morontia of the finaliter world,47:1.2
embellishment reality of to nonmaterial beings,44:3.9
embellishment the work of the celestial artisans,44:0.1
embellishment of morontia companions' programs by celestial artisans and reversion directors,48:3.11
embellishment overmuch of houses of worship not conducive to spirit communion,167:6.6
embellishment spirit nonexplainability of to mortals,44:6.1
emblem of the bestowal and ministry of the spirit of truth,179:5.1
of divine spirit water baptism the emblem,144:6.9
emblem of lucifer description,53:5.5
material of the trinity government identity of emblem,53:5.4
emblem of melchizedek description,93:2.5
emblem of modern physicians origin,85:3.3
embryo human a definition,112:5.4
embryonic state in the evolution of civilization,71:1.0
emergency(ies) council of edentia membership,43:5.14
emergency(ies) of ex-mortals on jerusem,54:5.12
the guardian seraphim' s' functioning in emergency(ies),113:5.4
ministers melchizedeks as emergency(ies),35:4.4
emergency(ies) son(s) machiventa melchizedek's decision to function as on urantia,93:1.3
the melchizedeks' fame as emergency(ies),35:2.1 35:4.2 93:0.1
two phases of transmutation of emergent energy,42:2.10
emigration effect of on class distinction,70:8.5
emissaries of social uplift during reign of planetary prince,66:6.4
of special assignment solitary messengers as emissaries,23:2.22
emmaus brothers from report of their contact with jesus,190:5.8
the morontia jesus' appearance at emmaus,190:5.0
of the ages expression of emotion(s),27:7.6
emotion(s) acquaintance of son of man with,129:4.4
emotion(s) animals' ability to express,109:4.1
emotion(s) a concomitant of religion,101:5.9
emotion(s) as a conditioning factor in religion,92:1.4
the cult's satisfying of emotion(s),87:7.1
emotion(s) of dawn mammals,62:2.3
emotion(s) designers a group of celestial artisans,44:6.5
emotion(s) eclipsing of spiritual beings,25:1.6
emotion(s) expression of the tempo of by music,195:7.20
holier fostering of emotion(s),39:2.5
jesus' experiencing of emotion(s),128:1.2
man's nonsenuous angels' sharing of emotion(s),38:2.1
emotion(s) not essentially a part of religious experience,101:5.9
one of the master's rare demonstrations of emotion(s),143:1.8
of primitive man father's recognition of emotion(s),155:6.17
religious man's earliest source of emotion(s),64:1.2
no mystic faculty for reception or expression of emotion(s),101:1.2
emotion(s) strong vs. leadings of the divine spirit,159:3.6
emotion(s) transformation of into loyalties of mind and experiences of the spirit,155:5.15
adjustment lack of emotional,156:5.18
emotional agony jesus' one cause of his quick death on the cross,187:5.8
emotional appeal(s) of jesus vs. his personality,141:7.10
emotional one of the few,155:5.14
response of conscience to emotional,154:6.8
casualty unhappiness an emotional,160:1.6
emotional control and genuine spiritual ecstasy,91:7.3
emotional excitement not the ideal spiritual stimulus,160:3.1
fear feelings of social duty and moral obligation products of emotional,103:5.1
emotional impulses vs. unselfish urges,103:5.5
emotional instability vs. sympathy and pity,149:4.3
emotional maturity essential to self-control,52:6.6
emotional reactions and a philosophy of living,140:4.8
emotional responses to inherited urges,140:4.8
emotional transcendence by man of the animal,69:0.1
emotionalism rampant the coming of the spirit of truth confused with,194:3.1
emotionalized morality religion more than,102:5.3
emperor worship roman,121:5.4 130:3.5
alexandrian extent of empire(s),133:5.1
empire(s) crash of effect on gospel believers,176:3.2
greek extent of empire(s),195:1.7
empire(s) han of jesus' day,134:5.1
empire(s) indian,94:9.1
mediterranean factors in the empire(s),195:2.9
roman christianity under the empire(s),195:3.0
empire(s),
unification of nations into empire(s),134:5.6
employment compulsory a factor in an expanding civilization,71:4.8
employment the teacher's responsibility as regards his pupils',159:3.4
employment universal of able-bodied citizens on worlds in light and life,55:3.2
practices of enchanters,150:3.11
end(s) eternal and time beginnings,19:1.11
end(s) of judas iscariot,186:1.0
end(s) and means the wise man's distinguishing between,160:4.11
of the world destruction of the temple and the end(s),176:1.0
end(s) and end of roman rule,135:5.2
end(s) influence of on the gospel believer,176:3.2
michael's sojourn as a morontia mortal on endantum,119:6.0
endings and beginnings,32:5.2
endogamy and exogamy about,82:5.0
apostolic sojourn at endor,146:0.1 146:7.1
jesus' visit to endor,134:7.5
witch of endor,146:7.1
endowment(s) the crowning of human nature,101:3.18
endowment(s) of institutions by rich men,69:5.13
endowment(s) jesus' human of natural acquirement,136:8.7
endowment(s) universe jesus' refusal to use his for self-aggrandizement,136:9.6
endurance patient jesus' ideal of strength of character,140:8.20
enduring peace a fruit of the spirit,193:2.2
fear of jesus by his enemy(ies),157:3.5
ganid's promise to learn to love his enemy(ies),131:10.8
enemy(ies) of jesus judas's appointment with,177:4.1
enemy(ies) plan of to discredit him,174:4.1
jesus' identity of enemy(ies),147:0.2 182:2.6
enemy(ies) presence of at golgotha,187:0.4
enemy(ies) reaction of to his sudden appearance in jerusalem,162:1.7
jesus' absence of need for defense against his enemy(ies),182:2.3
awareness of the impending declaration of war by his enemy(ies),153:1.2
love for his enemy(ies),161:2.3
refusal to take unfair advantage of his enemy(ies),149:4.5 173:2.7
willingness to lay down his life for his enemy(ies),188:5.7
jesus not lacking in courage to confront his enemy(ies),156:2.5
enemy(ies) love your,140:3.15 140:8.6
slaughter of enemy(ies),159:4.5
enemy(ies) the world not man's,140:8.3
energy(ies) about,0:6.0
ancestral sevenfold constitution of energy(ies),42:9.3
energy(ies) basic unknown on urantia,29:4.14
energy(ies) definition,0:6.2 42:1.2
depletion of stars reason for energy(ies),41:7.14
havona seven forms of energy(ies),14:2.3
life not energy(ies),36:6.6
energy(ies) living laboratories of on second melchizedek world,35:3.4
-mobilization andronover attainment of the height of energy(ies),57:2.4
energy(ies) not infinitely manifest,42:1.7
energy(ies) potential of the cosmos-infinite,104:4.26
energy(ies) powerlessness of scientists to originate,42:1.4
rarest form of energy(ies),15:8.6 41:7.15
reality all latent the triodity of potentiality's integration of energy(ies),104:5.11
energy(ies) responsiveness of to mind,9:4.2
rest cold an indication of energy(ies),42:4.5
energy(ies) schools of location,35:3.20
space not energy(ies),11:5.9
superuniverse difference between havona energy and energy(ies),29:2.14
three forms of energy(ies),36:6.6 42:12.9
units comparable to planets performance of energy(ies),42:7.1
energy(ies) unity scientific man's attempt to identify,102:2.5
universal absolute's presence proved by energy(ies),42:0.1
energy(ies) universe,
combined physical and spiritual third source and center's function in maintenance of energy(ies)—the conjoint actor and deity,12:6.3
energy(ies)—the conjoint actor and deity concealed the father in the unqualified absolute,104:3.13
energy(ies)—the conjoint actor and deity control of conjoint actor in a limitless universe,8:2.5
the father the source of energy(ies)—the conjoint actor and deity,11:1.4
god is energy(ies)—the conjoint actor and deity,3:2.3 131:4.2
energy(ies)—the conjoint actor and deity influence of conjoint actor over,9:1.4
energy(ies)—the conjoint actor and deity the inherent control of a deity prerogative,111:6.4
energy(ies)—the conjoint actor and deity neutralization of by conjoint actor,9:3.4
energy(ies)—the conjoint actor and deity purposive a characteristic of god,4:4.1
energy(ies)—the conjoint actor and deity relation of to god,9:0.2
relation of conjoint creator to energy(ies)—the conjoint actor and deity,9:3.5
energy(ies)—the conjoint actor and deity revealed the father in paradise-havona,104:3.13
energy(ies)—the conjoint actor and deity universe conjoint actor's capacity to co-ordinate,9:0.2
energy(ies)—control and circuits balanced a factor in stability,12:6.1
channels of universe establishment of energy(ies)—control and circuits,15:4.2
energy(ies)—control and circuits circuiting of in paradise cycle,11:5.8 29:2.14
circuitizing and channelizing of supervisors of energy(ies)—control and circuits,41:2.4 42:1.5
circuits establishment of energy(ies)—control and circuits,34:1.1
interplanetary equalization of pressures of energy(ies)—control and circuits,29:4.20
of living matter life carriers the instigators of energy(ies)—control and circuits,49:1.2
midwayers' ability to traverse the energy(ies)—control and circuits,77:9.4
energy(ies)—control and circuits of morontia spheres,48:2.13
energy(ies)—control and circuits in nebadon administration,41:1.1
energy(ies)—control and circuits ordained by god,3:2.4
energy(ies)—control and circuits of power centers and physical controllers,15:9.10
energy(ies)—control and circuits of space supervision of before personalization of power directors,29:0.10
control and regulation of energy(ies)—control and circuits,15:8.0 29:4.16
currents basic superuniverse number of energy(ies)—control and circuits,44:5.2
directionization of superuniverse headquarters focal points for energy(ies)—control and circuits,15:8.1 41:1.3
eternal cycle of energy(ies)—control and circuits,42:10.1
jerusem control of energy(ies)—control and circuits,46:1.3
lanes of energy(ies)—control and circuits,29:2.16
laying lines of energy(ies)—control and circuits,29:4.14
energy(ies)—control and circuits movements of outer space and inhabited creations' power circuits,12:2.4
energy(ies)—control and circuits physical and spiritual circuit regulators' function with,48:2.13
energy(ies)—control and circuits reactions of superuniverses,15:8.8
energy(ies)—control and circuits segregation of between the superuniverses,29:4.3
energy(ies)—control and circuits space direction of—9 (433.2—3),39:3.8 41:5.6
energy(ies)—control and circuits swing of around god's majestic circuit,3:2.4
energy(ies)—control and circuits systems number of in gravita domain,15:8.2
energy(ies)—control and circuits universal nonspiritual,42:2.0 42:10.0
energy(ies)—force organizers and power entities -attraction attributes of energy transmitters,29:4.28
energy(ies)—force organizers and power entities balance universal function of energy transformers in maintaining,29:4.24
catalyzers power directors as energy(ies)—force organizers and power entities,42:2.22
energy(ies)—force organizers and power entities charge of organized space,29:3.10
energy(ies)—force organizers and power entities conservators and custodians,29:4.32
energy(ies)—force organizers and power entities control by associate power directors,29:4.20 29:4.36
controllers antigravity influence of energy(ies)—force organizers and power entities,15:8.5
energy(ies)—force organizers and power entities later function of in liaison with creator sons,32:2.2
energy(ies)—force organizers and power entities cyclones of space and force organizers,29:5.5 42:2.12
energy(ies)—force organizers and power entities electronic stage of control of by power centers and physical controllers,42:4.3
emerging two phases of transmutation of energy(ies)—force organizers and power entities,42:2.10
force organizers' function in eventuation of energy(ies)—force organizers and power entities,42:1.5
energy(ies)—force organizers and power entities forms of controlled by power centers,29:3.0
energy(ies)—force organizers and power entities function of secondary dissociators in evolving,29:4.35
of individual worlds dispatchers of energy(ies)—force organizers and power entities,29:4.27
energy(ies)—force organizers and power entities manifestation a function of morontia power supervisors,48:2.11
manipulators functions of energy(ies)—force organizers and power entities,41:2.4 44:5.10
material circuit regulators' modification of energy(ies)—force organizers and power entities,48:2.14
physical mechanical controllers' control of energy(ies)—force organizers and power entities,29:3.5 29:4.20
energy(ies)—force organizers and power entities regulation perfect the goal of power centers and physical controllers,29:2.12
release and absorption of energy(ies)—force organizers and power entities,42:4.13
of space basic supervising power centers' means of control of energy(ies)—force organizers and power entities,41:2.4
energy(ies)—force organizers and power entities storage of by primary associators,29:4.32
energy(ies)—force organizers and power entities transformerssee ;      transmitters see,"Transformers, energy Transmitters, energy"
energy(ies)—force organizers and power entities universe power directors' power over,15:8.4
energy(ies)—force organizers and power entities upheavals transient and local power centers not concerned with,41:1.2
energy(ies)—force organizers and power entities to which combined controllers are sensitive,48:2.19
whirl andronover factors necessary to inauguration of energy(ies)—force organizers and power entities,57:1.6
energy(ies)—manifestations and systems center(s) of salvington,41:1.3
charge of a superuniverse creative principles governing segmentation of energy(ies)—manifestations and systems,14:2.2 15:4.6 41:0.2
gamut scope of energy(ies)—manifestations and systems,38:9.8
habitual behavior of energy(ies)—manifestations and systems,12:1.1
havona difference between superuniverse energies and energy(ies)—manifestations and systems,29:2.14
manifestations life not energy(ies)—manifestations and systems,36:6.1
of master spirits direction of energy(ies)—manifestations and systems,16:4.4
star students' study of energy(ies)—manifestations and systems,30:3.4
unqualified absolute's domination of energy(ies)—manifestations and systems,29:3.11
wavelike classification of energy(ies)—manifestations and systems,42:5.0
manipulation conjoint actor's unique prerogatives of energy(ies)—manifestations and systems,9:0.1
influence of dark islands of space in energy(ies)—manifestations and systems,15:6.11
energy(ies)—manifestations and systems modes of employed by celestial musicians,44:1.10
energy(ies)—manifestations and systems manipulators,44:0.10 44:5.0
energy(ies)—manifestations and systems morontia separate order of for each morontia world,48:2.13
energy(ies)—manifestations and systems nonspiritual a form unrecognized on urantia,3:2.3
energy(ies)—manifestations and systems other than paradise the eternal motion of all,105:3.4
energy(ies)—manifestations and systems path definition,29:2.16
energy(ies)—manifestations and systems potential of local universes,32:1.3
